ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,ACCHF1,ACCHF2,ACCHF3,ACCHM1,ACCHM3,CLPSF1,CLPSF3,CLPSM1,CLPSM2,CLPSM3,VIPSF2,VIPSM1,VIPSM2,WGSBF1,WGSBF2,WGSBM3,WOCHF1,WOCHF2,WOCHF3,WOCHM1,WOCHM2,WOCHM3
ASV60,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Ramularia,NA,0,0,3.3957E-05,0,1.71392E-05,0,0,1.79554E-05,8.42986E-06,0,0,1.48119E-05,6.49495E-05,0,0,0,0,0,0,0,1.59388E-05,1.52411E-05
ASV61,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactifluus,dissitus,0,0,0,0,0,0,0,0,0,0,0,3.13663E-05,0,0.000209798,0,9.53797E-05,0,0,0,0,0,0
ASV62,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,herbarum,0,0,0,0,5.92081E-05,0,0,0,0,0,0,5.57624E-05,0,0,0,0,0,0,0,0,0,7.31575E-05
ASV63,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,kluyveri,0,0,0,0,0,0,0,0,0,0,0,6.53466E-05,1.50409E-05,0,0,0,0,0,0,0,0,5.79164E-05
ASV64,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,0,0,0,0,0,0,0,6.85571E-05,7.58686E-05,3.20422E-05,0,0,0,0,0,0,0,0,0,0,0,0
ASV65,Fungi,Ascomycota,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,7.72557E-05,0,0,0,0,0,0,0,0,0
ASV66,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,parabailii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000105531,0,0.000149916,0,0
ASV67,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,deserticola,6.52457E-05,0,0.000117956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV68,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,parabailii,0,0,0,2.371E-05,7.94636E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.09359E-05,0,0,0
ASV69,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,parabailii,0,0,0,0,0,0,0,0,3.23144E-05,2.8482E-05,0,0,0,6.87862E-05,0,7.41842E-05,0,0,0,4.71958E-05,0,0
ASV7,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,0,2.30789E-05,6.61269E-05,0,0.000232158,0.000196849,7.29248E-05,0.000132217,0.000236036,7.83254E-05,0.018699731,0.011102815,0.020894594,7.22254E-05,0.01721831,8.74314E-05,0.000342793,0.000418142,0.000242808,0.019619538,0.000122957,0.000179846
ASV70,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,parabailii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000225421,0
ASV71,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,parabailii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000274341
ASV72,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycodaceae,Hanseniaspora,osmophila,0,0,0,0,0.000138672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV73,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,NA,NA,0,0,0,0,0,0,0,3.75432E-05,6.04139E-05,3.91627E-05,0,0,0,0,0,0,0,0,0,0,0,0
ASV74,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycodaceae,Hanseniaspora,uvarum,0,0,0,0,0.000105951,0,0,0,0,0,0,1.04554E-05,0,0,0,0,0,0,0,0,0,0
ASV75,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,parabailii,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000158208,0,8.21325E-05,0,0,0,0,0,0
ASV76,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,deserticola,4.51701E-05,0,8.39989E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV77,Fungi,Ascomycota,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000244191,0,0,0,0,0,0,0,0
ASV78,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,sporocuriosa,4.34971E-05,0,3.75315E-05,0,1.24649E-05,0,0,0,0,0,0,0,0,0,2.67828E-05,0,0,0,0,0,0,0
ASV79,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,NA,0,0,0,0,0,0,0.000119671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV8,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,scaptomyzae,0.000167296,5.84665E-05,7.50629E-05,6.1646E-05,0.000112184,0.016034204,0.040783637,0.019401647,0.008060338,0.024307572,0.00025787,0.000164673,0.000100501,0.000897659,0.000407693,0.000466301,1.77307E-05,0.000113496,4.15055E-05,0,0,0.00044809
ASV80,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,parabailii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000184503,0,0,0,0,0,0,0
ASV81,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,parabailii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119469,0,0,0,0
ASV82,Fungi,Ascomycota,NA,NA,NA,NA,NA,0,0,0,0,0,0,9.91029E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV83,Fungi,Ascomycota,Leotiomycetes,Helotiales,Erysiphaceae,Erysiphe,actinidiae,0,0,0,0,0,0,9.91029E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV84,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,parabailii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101549,0,0,0,0
ASV85,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Starmerella,apicola,0,0,0,0,0,4.92121E-05,0,6.36602E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
