""	"ACCHF1"	"ACCHF2"	"ACCHF3"	"ACCHM1"	"ACCHM2"	"ACCHM3"	"ACPNF1"	"ACPNF2"	"ACPNF3"	"ACPNM1"	"ACPNM2"	"ACPNM3"	"CLPSF1"	"CLPSF2"	"CLPSF3"	"CLPSM1"	"CLPSM2"	"CLPSM3"	"CLSBF1"	"CLSBF2"	"CLSBF3"	"CLSBM1"	"CLSBM2"	"CLSBM3"	"GAPNF1"	"GAPNF2"	"GAPNM1"	"GAPNM2"	"VIPSF1"	"VIPSF2"	"VIPSF3"	"VIPSM1"	"VIPSM2"	"VIPSM3"	"WGSBF1"	"WGSBF2"	"WGSBF3"	"WGSBM1"	"WGSBM2"	"WGSBM3"	"WOCHF1"	"WOCHF2"	"WOCHF3"	"WOCHM1"	"WOCHM2"	"WOCHM3"
"ASV11"	214.867617107943	3889.29889298893	13.3689839572193	3115.67164179105	6157.60111576011	2475.7174392936	1536.39846743295	378.914405010438	0	27.9069767441861	1235	15.2838427947598	2192.13973799127	0	426.157237325496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.2020202020202	0	0	0	0	0	0	0	0	0	140.41095890411	386.430678466077	13545.7627118644	34.7003154574133	43682.1917808219	3504.53172205438
"ASV12"	2467.41344195519	7306.27306273063	868.983957219251	3376.86567164179	1037.65690376569	1961.36865342163	624.521072796935	82.4634655532359	177.142857142857	0	0	329.694323144105	135.371179039301	398.692810457516	91.844232182219	127.589967284624	433.774834437086	170.697012802276	0	0	0	0	0	0	0	0	0	0	0	0	222.222222222222	0	0	89.8203592814371	311.40350877193	482.558139534884	0	1582.93838862559	1787.33031674208	272.727272727273	1784.24657534247	575.221238938053	677.966101694916	1725.55205047319	1265.75342465753	456.19335347432
"ASV13"	151.73116089613	207.872078720787	49.4652406417112	1115.67164179105	305.439330543933	90.5077262693157	2678.16091954023	2683.71607515658	125.714285714286	302.325581395349	310	1917.03056768559	204.148471615721	0	0	20.7197382769902	0	55.4765291607397	336.283185840708	682.713347921225	304.654442877292	1332	0	1588.88888888889	1437.5	294.117647058824	457.831325301206	3050	2963.76811594203	1085.10638297872	1732.32323232323	607.973421926911	195.945945945946	1865.26946107784	0	290.697674418605	0	0	0	0	0	0	91.5254237288136	0	153.424657534247	211.480362537764
"ASV14"	73.3197556008147	47.9704797047971	96.2566844919786	302.238805970149	972.1059972106	67.3289183222958	498.08429118774	1795.40709812109	262.857142857143	302.325581395349	530	971.615720524018	334.061135371179	0	0	63.2497273718648	94.3708609271523	149.359886201991	1014.74926253687	1039.38730853392	1898.4485190409	2932	1211.86440677966	5983.33333333334	0	0	0	0	1369.5652173913	989.361702127661	1353.53535353535	634.551495016612	462.837837837838	1080.83832335329	0	0	0	0	0	0	0	0	0	0	0	181.268882175227
"ASV15"	583.503054989817	199.261992619926	524.064171122995	0	709.902370990237	2827.81456953642	0	0	0	0	0	0	1304.58515283843	957.516339869281	2808.22924320353	2268.26608505998	3806.29139072848	923.186344238976	0	0	0	60	0	0	0	0	0	0	7.2463768115942	0	0	83.0564784053156	0	41.9161676646707	70.1754385964912	0	151.732377538829	0	0	0	23.972602739726	0	0	6.30914826498423	0	0
"ASV16"	0	0	0	0	1237.0990237099	67.3289183222958	0	209.812108559499	0	0	0	0	0	0	0	0	0	0	1666.66666666667	4113.78555798687	3485.1904090268	13212	1211.86440677966	10494.4444444445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV17"	104.887983706721	226.322263222632	46.7914438502674	3097.01492537314	147.838214783822	75.0551876379691	34.4827586206897	135.699373695198	0	0	0	0	239.082969432314	35.9477124183007	356.35562086701	384.95092693566	238.41059602649	126.600284495021	309.734513274336	949.671772428884	287.729196050776	1668	33.8983050847458	1216.66666666667	354.166666666667	0	0	0	0	0	0	0	81.0810810810811	0	285.087719298246	139.53488372093	362.007168458781	0	140.27149321267	206.293706293706	0	0	27.1186440677966	0	93.1506849315069	33.2326283987915
"ASV19"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3297.10144927536	2234.04255319149	3080.80808080808	1598.00664451827	1226.35135135135	2859.28143712575	0	0	0	0	0	0	0	0	0	0	0	0
"ASV20"	0	0	0	0	0	27.5938189845475	0	0	0	0	0	0	184.497816593886	13192.8104575163	566.495224099927	1651.03598691385	943.708609271523	2180.65433854908	0	0	0	0	0	0	0	0	0	0	0	0	0	26.578073089701	16.8918918918919	23.9520958083832	0	0	0	0	0	0	0	0	0	0	0	0
"ASV21"	553.971486761711	462.484624846249	319.51871657754	873.134328358209	189.679218967922	277.041942604857	0	0	0	0	0	0	732.532751091703	424.83660130719	2828.80235121234	607.415485278081	1759.93377483444	263.157894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.068493150685	0	179.661016949153	141.955835962145	136.986301369863	169.184290030212
